ID,Season,Team1Seed,Team2Seed,SeedDiff,IDTeams_c_score,NumOTsum_c_score,NumOTmean_c_score,NumOTmedian_c_score,NumOTmax_c_score,NumOTmin_c_score,NumOTstd_c_score,NumOTskew_c_score,NumOTnunique_c_score,WFGMsum_c_score,WFGMmean_c_score,WFGMmedian_c_score,WFGMmax_c_score,WFGMmin_c_score,WFGMstd_c_score,WFGMskew_c_score,WFGMnunique_c_score,WFGAsum_c_score,WFGAmean_c_score,WFGAmedian_c_score,WFGAmax_c_score,WFGAmin_c_score,WFGAstd_c_score,WFGAskew_c_score,WFGAnunique_c_score,WFGM3sum_c_score,WFGM3mean_c_score,WFGM3median_c_score,WFGM3max_c_score,WFGM3min_c_score,WFGM3std_c_score,WFGM3skew_c_score,WFGM3nunique_c_score,WFGA3sum_c_score,WFGA3mean_c_score,WFGA3median_c_score,WFGA3max_c_score,WFGA3min_c_score,WFGA3std_c_score,WFGA3skew_c_score,WFGA3nunique_c_score,WFTMsum_c_score,WFTMmean_c_score,WFTMmedian_c_score,WFTMmax_c_score,WFTMmin_c_score,WFTMstd_c_score,WFTMskew_c_score,WFTMnunique_c_score,WFTAsum_c_score,WFTAmean_c_score,WFTAmedian_c_score,WFTAmax_c_score,WFTAmin_c_score,WFTAstd_c_score,WFTAskew_c_score,WFTAnunique_c_score,WORsum_c_score,WORmean_c_score,WORmedian_c_score,WORmax_c_score,WORmin_c_score,WORstd_c_score,WORskew_c_score,WORnunique_c_score,WDRsum_c_score,WDRmean_c_score,WDRmedian_c_score,WDRmax_c_score,WDRmin_c_score,WDRstd_c_score,WDRskew_c_score,WDRnunique_c_score,WAstsum_c_score,WAstmean_c_score,WAstmedian_c_score,WAstmax_c_score,WAstmin_c_score,WAststd_c_score,WAstskew_c_score,WAstnunique_c_score,WTOsum_c_score,WTOmean_c_score,WTOmedian_c_score,WTOmax_c_score,WTOmin_c_score,WTOstd_c_score,WTOskew_c_score,WTOnunique_c_score,WStlsum_c_score,WStlmean_c_score,WStlmedian_c_score,WStlmax_c_score,WStlmin_c_score,WStlstd_c_score,WStlskew_c_score,WStlnunique_c_score,WBlksum_c_score,WBlkmean_c_score,WBlkmedian_c_score,WBlkmax_c_score,WBlkmin_c_score,WBlkstd_c_score,WBlkskew_c_score,WBlknunique_c_score,WPFsum_c_score,WPFmean_c_score,WPFmedian_c_score,WPFmax_c_score,WPFmin_c_score,WPFstd_c_score,WPFskew_c_score,WPFnunique_c_score,LFGMsum_c_score,LFGMmean_c_score,LFGMmedian_c_score,LFGMmax_c_score,LFGMmin_c_score,LFGMstd_c_score,LFGMskew_c_score,LFGMnunique_c_score,LFGAsum_c_score,LFGAmean_c_score,LFGAmedian_c_score,LFGAmax_c_score,LFGAmin_c_score,LFGAstd_c_score,LFGAskew_c_score,LFGAnunique_c_score,LFGM3sum_c_score,LFGM3mean_c_score,LFGM3median_c_score,LFGM3max_c_score,LFGM3min_c_score,LFGM3std_c_score,LFGM3skew_c_score,LFGM3nunique_c_score,LFGA3sum_c_score,LFGA3mean_c_score,LFGA3median_c_score,LFGA3max_c_score,LFGA3min_c_score,LFGA3std_c_score,LFGA3skew_c_score,LFGA3nunique_c_score,LFTMsum_c_score,LFTMmean_c_score,LFTMmedian_c_score,LFTMmax_c_score,LFTMmin_c_score,LFTMstd_c_score,LFTMskew_c_score,LFTMnunique_c_score,LFTAsum_c_score,LFTAmean_c_score,LFTAmedian_c_score,LFTAmax_c_score,LFTAmin_c_score,LFTAstd_c_score,LFTAskew_c_score,LFTAnunique_c_score,LORsum_c_score,LORmean_c_score,LORmedian_c_score,LORmax_c_score,LORmin_c_score,LORstd_c_score,LORskew_c_score,LORnunique_c_score,LDRsum_c_score,LDRmean_c_score,LDRmedian_c_score,LDRmax_c_score,LDRmin_c_score,LDRstd_c_score,LDRskew_c_score,LDRnunique_c_score,LAstsum_c_score,LAstmean_c_score,LAstmedian_c_score,LAstmax_c_score,LAstmin_c_score,LAststd_c_score,LAstskew_c_score,LAstnunique_c_score,LTOsum_c_score,LTOmean_c_score,LTOmedian_c_score,LTOmax_c_score,LTOmin_c_score,LTOstd_c_score,LTOskew_c_score,LTOnunique_c_score,LStlsum_c_score,LStlmean_c_score,LStlmedian_c_score,LStlmax_c_score,LStlmin_c_score,LStlstd_c_score,LStlskew_c_score,LStlnunique_c_score,LBlksum_c_score,LBlkmean_c_score,LBlkmedian_c_score,LBlkmax_c_score,LBlkmin_c_score,LBlkstd_c_score,LBlkskew_c_score,LBlknunique_c_score,LPFsum_c_score,LPFmean_c_score,LPFmedian_c_score,LPFmax_c_score,LPFmin_c_score,LPFstd_c_score,LPFskew_c_score,LPFnunique_c_score,Pred
2007_1314_1425,2007,1.0,5.0,-4.0,1314_1425,0,0.0,0.0,0,0,0.0,0.0,1,93,31.0,30.0,35,28,3.605551275463989,1.1520696383139377,3,196,65.33333333333333,61.0,77,58,10.21436896402971,1.5654824484776457,3,18,6.0,4.0,12,2,5.291502622129181,1.457862967321305,3,50,16.666666666666668,15.0,21,14,3.785938897200183,1.5970969928697338,3,41,13.666666666666666,12.0,23,6,8.621678104251709,0.8373927737041924,3,67,22.333333333333332,17.0,37,13,12.858201014657272,1.545392525695022,3,43,14.333333333333334,12.0,20,11,4.932882862316247,1.652316740332989,3,77,25.666666666666668,26.0,28,23,2.516611478423583,-0.5855827262813922,3,60,20.0,21.0,28,11,8.54400374531753,-0.51947029714447,3,48,16.0,19.0,20,9,6.082762530298219,-1.6795356000385153,3,37,12.333333333333334,15.0,16,6,5.507570547286102,-1.6680336834432499,3,13,4.333333333333333,4.0,7,2,2.516611478423583,0.5855827262813889,3,51,17.0,15.0,22,14,4.358898943540674,1.6300591617118865,3,70,23.333333333333332,24.0,26,20,3.0550504633038935,-0.9352195295828207,3,183,61.0,61.0,68,54,7.0,0.0,3,17,5.666666666666667,5.0,7,5,1.1547005383792517,1.732050807568875,2,62,20.666666666666668,21.0,23,18,2.5166114784235836,-0.5855827262813922,3,31,10.333333333333334,12.0,12,7,2.886751345948129,-1.7320508075688794,2,48,16.0,16.0,23,9,7.0,0.0,3,44,14.666666666666666,15.0,19,10,4.509249752822894,-0.33083181470589806,3,72,24.0,23.0,29,20,4.58257569495584,0.9352195295828245,3,42,14.0,13.0,16,13,1.7320508075688772,1.7320508075688774,2,71,23.666666666666668,25.0,28,18,5.131601439446885,-1.0902905798280054,3,28,9.333333333333334,7.0,16,5,5.8594652770823155,1.5078084839697155,3,11,3.6666666666666665,2.0,7,2,2.8867513459481287,1.732050807568878,2,64,21.333333333333332,19.0,28,17,5.859465277082315,1.5078084839697175,3,1.0
2007_1332_1424,2007,3.0,7.0,-4.0,1332_1424,0,0.0,0.0,0,0,0.0,0.0,1,109,27.25,27.0,32,23,3.774917217635375,0.3578561105052925,4,233,58.25,59.0,67,48,7.847504911329035,-0.5540317976441159,4,31,7.75,7.5,13,3,4.573474244670748,0.19600292789973206,4,82,20.5,21.0,23,17,3.0,-0.37037037037037035,3,73,18.25,17.5,24,14,4.193248541803042,1.0070351835978104,4,89,22.25,21.5,29,17,4.991659710623979,0.8623079447755252,4,45,11.25,11.5,15,7,3.5,-0.3206997084548105,4,112,28.0,28.0,30,26,2.309401076758503,0.0,2,46,11.5,10.0,17,9,3.785938897200183,1.6585238002878029,3,58,14.5,14.0,17,13,1.7320508075688776,1.5396007178390019,3,24,6.0,5.5,9,4,2.449489742783178,0.5443310539518172,3,19,4.75,4.0,8,3,2.362907813126304,1.1938237737069408,3,83,20.75,20.5,22,20,0.9574271077563381,0.8545630383279712,3,94,23.5,24.0,28,18,4.123105625617661,-0.7133400736362734,3,257,64.25,64.0,74,55,8.139410298049853,0.15067616073285595,4,33,8.25,8.0,9,8,0.5,1.9999999999999998,2,107,26.75,26.5,33,21,5.678908345800274,0.12967881566036318,4,62,15.5,16.0,23,7,7.0,-0.3206997084548105,4,82,20.5,22.5,25,12,5.916079783099616,-1.5454249229321444,4,58,14.5,14.5,19,10,3.696845502136472,0.0,4,83,20.75,22.0,26,13,6.020797289396147,-0.7617275048653389,4,48,12.0,11.5,18,7,4.690415759823429,0.5426927325415538,4,56,14.0,15.0,18,8,4.242640687119285,-1.30945700219731,3,24,6.0,6.5,8,3,2.449489742783178,-0.5443310539518172,3,10,2.5,2.5,3,2,0.5773502691896257,0.0,2,80,20.0,20.5,21,18,1.4142135623730951,-1.414213562373095,3,1.0
2007_1272_1326,2007,2.0,1.0,1.0,1272_1326,1,0.5,0.5,1,0,0.7071067811865476,-1.0,2,50,25.0,25.0,26,24,1.4142135623730951,-1.0,2,109,54.5,54.5,58,51,4.949747468305833,-1.0,2,10,5.0,5.0,5,5,0.0,-1.0,1,31,15.5,15.5,17,14,2.1213203435596424,-1.0,2,63,31.5,31.5,35,28,4.949747468305833,-1.0,2,77,38.5,38.5,41,36,3.5355339059327378,-1.0,2,19,9.5,9.5,10,9,0.7071067811865476,-1.0,2,55,27.5,27.5,30,25,3.5355339059327378,-1.0,2,20,10.0,10.0,11,9,1.4142135623730951,-1.0,2,23,11.5,11.5,15,8,4.949747468305833,-1.0,2,16,8.0,8.0,8,8,0.0,-1.0,1,4,2.0,2.0,2,2,0.0,-1.0,1,37,18.5,18.5,22,15,4.949747468305833,-1.0,2,54,27.0,27.0,28,26,1.4142135623730951,-1.0,2,126,63.0,63.0,65,61,2.8284271247461903,-1.0,2,19,9.5,9.5,10,9,0.7071067811865476,-1.0,2,47,23.5,23.5,25,22,2.1213203435596424,-1.0,2,25,12.5,12.5,14,11,2.1213203435596424,-1.0,2,39,19.5,19.5,20,19,0.7071067811865476,-1.0,2,23,11.5,11.5,15,8,4.949747468305833,-1.0,2,50,25.0,25.0,30,20,7.0710678118654755,-1.0,2,27,13.5,13.5,17,10,4.949747468305833,-1.0,2,30,15.0,15.0,19,11,5.656854249492381,-1.0,2,14,7.0,7.0,9,5,2.8284271247461903,-1.0,2,10,5.0,5.0,7,3,2.8284271247461903,-1.0,2,57,28.5,28.5,29,28,0.7071067811865476,-1.0,2,0.0
2007_1242_1417,2007,1.0,2.0,-1.0,1242_1417,0,0.0,0.0,0,0,0.0,0.0,1,166,27.666666666666668,28.0,32,24,3.204163957519444,-0.04053167428132369,4,327,54.5,56.5,63,45,7.092249290598858,-0.44654352690710536,6,43,7.166666666666667,7.5,10,5,1.9407902170679516,0.14591264847562277,4,102,17.0,17.0,23,11,3.847076812334269,0.0,5,94,15.666666666666666,16.5,19,12,3.011090610836324,-0.5103681371632709,5,136,22.666666666666668,21.5,30,17,5.278888771954441,0.5252482847257836,6,62,10.333333333333334,10.0,16,7,3.011090610836324,1.5652917508213253,4,149,24.833333333333332,25.5,28,21,2.926886855802026,-0.3296951991274198,5,96,16.0,15.5,22,12,3.9496835316262997,0.5550590761900867,5,93,15.5,14.5,25,10,5.468089245796926,1.1229641564728758,6,56,9.333333333333334,9.0,15,6,3.2041639575194445,1.189604640156801,5,24,4.0,4.0,7,2,2.0,0.44999999999999996,4,101,16.833333333333332,18.0,20,13,2.714160398109638,-0.6385148333219967,4,145,24.166666666666668,25.0,29,16,4.875106836436168,-0.943626603324199,6,353,58.833333333333336,58.5,75,44,9.948199167018455,0.2890012607758646,6,35,5.833333333333333,6.0,8,4,1.6020819787597222,-0.04053167428132125,4,91,15.166666666666666,15.5,21,8,4.355073669487885,-0.5827193249409749,4,66,11.0,12.5,16,5,4.9396356140913875,-0.5376383831515754,5,100,16.666666666666668,20.0,22,6,6.592925501373929,-1.1185069704333244,5,75,12.5,13.0,20,6,5.357238094391549,0.052681990268877314,6,120,20.0,20.5,25,14,4.732863826479693,-0.25467817943828064,5,74,12.333333333333334,12.0,17,8,3.07679486912382,0.21057215430424805,5,95,15.833333333333334,15.0,21,11,3.6009258068817065,0.3176846539599305,5,57,9.5,8.0,17,5,4.324349662087931,1.2019983046554001,5,20,3.3333333333333335,3.5,6,1,2.0655911179772892,-0.05295094418642981,5,119,19.833333333333332,19.5,25,12,4.875106836436168,-0.5477637355881918,5,0.0
2007_1196_1332,2007,1.0,3.0,-2.0,1196_1332,0,0.0,0.0,0,0,-1.0,-1.0,1,23,23.0,23.0,23,23,-1.0,-1.0,1,48,48.0,48.0,48,48,-1.0,-1.0,1,11,11.0,11.0,11,11,-1.0,-1.0,1,24,24.0,24.0,24,24,-1.0,-1.0,1,28,28.0,28.0,28,28,-1.0,-1.0,1,43,43.0,43.0,43,43,-1.0,-1.0,1,15,15.0,15.0,15,15,-1.0,-1.0,1,24,24.0,24.0,24,24,-1.0,-1.0,1,10,10.0,10.0,10,10,-1.0,-1.0,1,18,18.0,18.0,18,18,-1.0,-1.0,1,5,5.0,5.0,5,5,-1.0,-1.0,1,5,5.0,5.0,5,5,-1.0,-1.0,1,14,14.0,14.0,14,14,-1.0,-1.0,1,27,27.0,27.0,27,27,-1.0,-1.0,1,58,58.0,58.0,58,58,-1.0,-1.0,1,8,8.0,8.0,8,8,-1.0,-1.0,1,22,22.0,22.0,22,22,-1.0,-1.0,1,15,15.0,15.0,15,15,-1.0,-1.0,1,16,16.0,16.0,16,16,-1.0,-1.0,1,8,8.0,8.0,8,8,-1.0,-1.0,1,16,16.0,16.0,16,16,-1.0,-1.0,1,13,13.0,13.0,13,13,-1.0,-1.0,1,13,13.0,13.0,13,13,-1.0,-1.0,1,8,8.0,8.0,8,8,-1.0,-1.0,1,2,2.0,2.0,2,2,-1.0,-1.0,1,30,30.0,30.0,30,30,-1.0,-1.0,1,1.0
2007_1207_1314,2007,2.0,1.0,1.0,1207_1314,1,1.0,1.0,1,1,-1.0,-1.0,1,38,38.0,38.0,38,38,-1.0,-1.0,1,66,66.0,66.0,66,66,-1.0,-1.0,1,8,8.0,8.0,8,8,-1.0,-1.0,1,14,14.0,14.0,14,14,-1.0,-1.0,1,12,12.0,12.0,12,12,-1.0,-1.0,1,18,18.0,18.0,18,18,-1.0,-1.0,1,11,11.0,11.0,11,11,-1.0,-1.0,1,27,27.0,27.0,27,27,-1.0,-1.0,1,26,26.0,26.0,26,26,-1.0,-1.0,1,10,10.0,10.0,10,10,-1.0,-1.0,1,4,4.0,4.0,4,4,-1.0,-1.0,1,11,11.0,11.0,11,11,-1.0,-1.0,1,18,18.0,18.0,18,18,-1.0,-1.0,1,25,25.0,25.0,25,25,-1.0,-1.0,1,71,71.0,71.0,71,71,-1.0,-1.0,1,5,5.0,5.0,5,5,-1.0,-1.0,1,20,20.0,20.0,20,20,-1.0,-1.0,1,29,29.0,29.0,29,29,-1.0,-1.0,1,34,34.0,34.0,34,34,-1.0,-1.0,1,21,21.0,21.0,21,21,-1.0,-1.0,1,22,22.0,22.0,22,22,-1.0,-1.0,1,15,15.0,15.0,15,15,-1.0,-1.0,1,9,9.0,9.0,9,9,-1.0,-1.0,1,5,5.0,5.0,5,5,-1.0,-1.0,1,4,4.0,4.0,4,4,-1.0,-1.0,1,19,19.0,19.0,19,19,-1.0,-1.0,1,1.0
2007_1196_1417,2007,1.0,2.0,-1.0,1196_1417,0,0.0,0.0,0,0,0.0,0.0,1,106,26.5,26.5,29,24,2.081665999466132,0.0,4,215,53.75,56.0,58,45,6.1305247192498395,-1.4941046080533187,3,29,7.25,7.0,9,6,1.5,0.37037037037037035,3,76,19.0,20.0,22,14,3.5590260840104366,-1.3309377322476703,4,60,15.0,14.0,19,13,2.82842712474619,1.414213562373095,3,86,21.5,19.0,31,17,6.454972243679029,1.7846707259323775,4,35,8.75,8.5,10,8,0.957427107756338,0.8545630383279712,3,115,28.75,28.0,35,24,4.856267428111154,0.6876109407631572,4,66,16.5,17.0,22,10,5.916079783099616,-0.19317811536651805,4,42,10.5,10.0,16,6,4.43471156521669,0.48156304844927,4,15,3.75,3.0,7,2,2.362907813126304,1.1938237737069408,3,25,6.25,5.5,10,4,2.6299556396765835,1.4430588355316425,4,63,15.75,16.0,18,13,2.217355782608345,-0.48156304844927,4,97,24.25,24.0,27,22,2.217355782608345,0.48156304844927,4,244,61.0,62.5,64,55,4.242640687119285,-1.414213562373095,3,14,3.5,3.0,5,3,1.0,1.9999999999999998,2,71,17.75,17.5,23,13,4.112987559751022,0.35571568499484674,4,48,12.0,11.0,16,10,2.70801280154532,1.812801958059264,3,67,16.75,14.5,25,13,5.560275772537426,1.8716712105637419,4,42,10.5,11.0,14,6,4.123105625617661,-0.19973522061815654,3,89,22.25,21.5,26,20,2.629955639676583,1.4430588355316425,4,47,11.75,12.0,12,11,0.5000000000000001,-1.9999999999999998,2,31,7.75,8.0,12,3,3.685557397915997,-0.40449717235586763,3,21,5.25,5.0,8,3,2.217355782608345,0.48156304844927,4,10,2.5,2.5,5,0,2.3804761428476167,0.0,4,81,20.25,20.5,26,14,5.05799696849784,-0.2608183139014684,4,1.0
2007_1207_1326,2007,2.0,1.0,1.0,1207_1326,0,0.0,0.0,0,0,0.0,-1.0,1,52,26.0,26.0,27,25,1.4142135623730951,-1.0,2,115,57.5,57.5,58,57,0.7071067811865476,-1.0,2,10,5.0,5.0,6,4,1.4142135623730951,-1.0,2,28,14.0,14.0,14,14,0.0,-1.0,1,23,11.5,11.5,13,10,2.1213203435596424,-1.0,2,31,15.5,15.5,19,12,4.949747468305833,-1.0,2,28,14.0,14.0,16,12,2.8284271247461903,-1.0,2,46,23.0,23.0,25,21,2.8284271247461903,-1.0,2,31,15.5,15.5,18,13,3.5355339059327378,-1.0,2,16,8.0,8.0,8,8,0.0,-1.0,1,14,7.0,7.0,8,6,1.4142135623730951,-1.0,2,8,4.0,4.0,5,3,1.4142135623730951,-1.0,2,20,10.0,10.0,10,10,0.0,-1.0,1,44,22.0,22.0,25,19,4.242640687119285,-1.0,2,98,49.0,49.0,51,47,2.8284271247461903,-1.0,2,12,6.0,6.0,7,5,1.4142135623730951,-1.0,2,37,18.5,18.5,21,16,3.5355339059327378,-1.0,2,12,6.0,6.0,9,3,4.242640687119285,-1.0,2,17,8.5,8.5,9,8,0.7071067811865476,-1.0,2,12,6.0,6.0,9,3,4.242640687119285,-1.0,2,42,21.0,21.0,21,21,0.0,-1.0,1,27,13.5,13.5,17,10,4.949747468305833,-1.0,2,25,12.5,12.5,14,11,2.1213203435596424,-1.0,2,7,3.5,3.5,4,3,0.7071067811865476,-1.0,2,7,3.5,3.5,4,3,0.7071067811865476,-1.0,2,29,14.5,14.5,15,14,0.7071067811865476,-1.0,2,0.0
2007_1196_1326,2007,1.0,1.0,0.0,1196_1326,0,0.0,0.0,0,0,0.0,0.0,1,170,28.333333333333332,25.5,39,22,6.97614984548545,0.9317460410066192,6,341,56.833333333333336,56.5,62,53,3.9707262140150976,0.2129751376360712,5,43,7.166666666666667,8.0,10,4,2.6394443859772205,-0.46406750954202236,4,103,17.166666666666668,17.5,21,14,2.48327740429189,0.3047411277728521,5,94,15.666666666666666,15.5,27,6,9.330952077181978,0.09363032018611826,6,126,21.0,19.5,34,10,11.135528725660043,0.21378824660606432,5,61,10.166666666666666,10.0,15,7,2.7868739954771304,0.9917737588207227,5,143,23.833333333333332,25.0,33,12,8.28049917979989,-0.40767952657381085,6,91,15.166666666666666,16.0,22,8,4.9966655548141965,-0.23433518077001886,5,71,11.833333333333334,12.5,16,7,3.7638632635454052,-0.3125699596023873,6,45,7.5,6.5,13,5,2.8809720581775866,1.8066191452064415,5,18,3.0,2.5,6,2,1.5491933384829668,1.9364916731037085,3,102,17.0,17.0,20,13,2.529822128134703,-0.5558691199514729,5,152,25.333333333333332,25.0,30,19,4.226897995772629,-0.25246982069871465,4,336,56.0,56.5,64,47,6.985699678629192,-0.19008387327632512,6,37,6.166666666666667,5.5,11,4,2.6394443859772205,1.4937172963383825,5,124,20.666666666666668,22.5,23,14,3.614784456460256,-1.6542042571993787,4,60,10.0,10.0,13,7,2.756809750418044,0.0,4,96,16.0,15.5,21,11,4.0,0.140625,6,57,9.5,9.5,13,5,2.6645825188948455,-0.7135858759190719,5,126,21.0,21.5,25,16,3.794733192202055,-0.23058274605394433,5,66,11.0,11.0,12,10,0.6324555320336758,0.0,3,85,14.166666666666666,14.5,18,7,4.167333280008532,-1.0464352708890012,4,36,6.0,5.5,11,1,3.8987177379235853,0.18224615464670502,6,26,4.333333333333333,4.0,7,2,1.632993161855452,0.44397001587945206,4,114,19.0,19.5,24,12,4.1952353926806065,-0.8044840596759686,6,1.0
2008_1164_1291,2008,16.0,16.0,0.0,1164_1291,0,0.0,0.0,0,0,0.0,0.0,1,103,25.75,26.0,32,19,5.315072906367325,-0.2813837641713769,3,216,54.0,56.0,57,47,4.760952285695234,-1.779179400882648,3,43,10.75,11.0,16,5,5.123475382979799,-0.15800286895357202,4,97,24.25,23.5,30,20,4.349329450233296,0.8295369566048795,4,52,13.0,10.0,26,6,9.201449161228174,1.4016963599192525,4,68,17.0,14.5,32,7,10.801234497346433,1.1903401282789947,4,30,7.5,7.5,13,2,4.509249752822894,0.0,4,116,29.0,28.0,34,26,3.4641016151377544,1.5396007178390019,3,64,16.0,15.0,24,10,6.0553007081949835,0.8107096815930472,4,52,13.0,12.5,16,11,2.1602468994692865,1.1903401282789947,4,24,6.0,7.0,7,3,2.0,-1.9999999999999998,2,16,4.0,4.0,6,2,1.8257418583505538,0.0,4,64,16.0,14.5,22,13,4.242640687119285,1.414213562373095,3,83,20.75,20.5,25,17,3.500000000000001,0.3206997084548105,4,230,57.5,57.5,59,56,1.290994448735806,0.0,4,21,5.25,5.0,9,2,2.9860788111948193,0.42252141445852104,4,90,22.5,21.5,32,15,7.937253933193772,0.41596090151280024,4,30,7.5,7.5,10,5,2.3804761428476167,0.0,4,60,15.0,13.5,20,13,3.366501646120693,1.8871047289673084,3,49,12.25,11.0,19,8,5.315072906367325,0.7076218921469537,3,94,23.5,25.0,27,17,4.509249752822893,-1.5705422412411907,4,34,8.5,8.5,11,6,2.0816659994661326,0.0,4,54,13.5,13.5,16,11,2.081665999466133,0.0,4,21,5.25,5.0,9,2,2.9860788111948193,0.42252141445852104,4,10,2.5,2.0,6,0,2.5166114784235836,1.1293381149712478,3,72,18.0,18.0,22,14,3.366501646120692,0.0,4,0.0
2008_1125_1181,2008,15.0,2.0,13.0,1125_1181,0,0.0,0.0,0,0,0.0,-1.0,1,49,24.5,24.5,25,24,0.7071067811865476,-1.0,2,114,57.0,57.0,58,56,1.4142135623730951,-1.0,2,15,7.5,7.5,9,6,2.1213203435596424,-1.0,2,40,20.0,20.0,21,19,1.4142135623730951,-1.0,2,35,17.5,17.5,20,15,3.5355339059327378,-1.0,2,47,23.5,23.5,26,21,3.5355339059327378,-1.0,2,24,12.0,12.0,13,11,1.4142135623730951,-1.0,2,50,25.0,25.0,27,23,2.8284271247461903,-1.0,2,23,11.5,11.5,14,9,3.5355339059327378,-1.0,2,34,17.0,17.0,19,15,2.8284271247461903,-1.0,2,19,9.5,9.5,11,8,2.1213203435596424,-1.0,2,3,1.5,1.5,2,1,0.7071067811865476,-1.0,2,39,19.5,19.5,22,17,3.5355339059327378,-1.0,2,53,26.5,26.5,27,26,0.7071067811865476,-1.0,2,116,58.0,58.0,59,57,1.4142135623730951,-1.0,2,14,7.0,7.0,8,6,1.4142135623730951,-1.0,2,42,21.0,21.0,23,19,2.8284271247461903,-1.0,2,26,13.0,13.0,16,10,4.242640687119285,-1.0,2,37,18.5,18.5,22,15,4.949747468305833,-1.0,2,20,10.0,10.0,11,9,1.4142135623730951,-1.0,2,48,24.0,24.0,24,24,0.0,-1.0,1,27,13.5,13.5,15,12,2.1213203435596424,-1.0,2,32,16.0,16.0,18,14,2.8284271247461903,-1.0,2,16,8.0,8.0,9,7,1.4142135623730951,-1.0,2,4,2.0,2.0,2,2,0.0,-1.0,1,45,22.5,22.5,24,21,2.1213203435596424,-1.0,2,0.0
2008_1242_1340,2008,1.0,16.0,-15.0,1242_1340,0,0.0,0.0,0,0,-1.0,-1.0,1,33,33.0,33.0,33,33,-1.0,-1.0,1,61,61.0,61.0,61,61,-1.0,-1.0,1,12,12.0,12.0,12,12,-1.0,-1.0,1,25,25.0,25.0,25,25,-1.0,-1.0,1,7,7.0,7.0,7,7,-1.0,-1.0,1,15,15.0,15.0,15,15,-1.0,-1.0,1,15,15.0,15.0,15,15,-1.0,-1.0,1,23,23.0,23.0,23,23,-1.0,-1.0,1,21,21.0,21.0,21,21,-1.0,-1.0,1,11,11.0,11.0,11,11,-1.0,-1.0,1,10,10.0,10.0,10,10,-1.0,-1.0,1,3,3.0,3.0,3,3,-1.0,-1.0,1,15,15.0,15.0,15,15,-1.0,-1.0,1,21,21.0,21.0,21,21,-1.0,-1.0,1,55,55.0,55.0,55,55,-1.0,-1.0,1,9,9.0,9.0,9,9,-1.0,-1.0,1,25,25.0,25.0,25,25,-1.0,-1.0,1,10,10.0,10.0,10,10,-1.0,-1.0,1,14,14.0,14.0,14,14,-1.0,-1.0,1,13,13.0,13.0,13,13,-1.0,-1.0,1,18,18.0,18.0,18,18,-1.0,-1.0,1,11,11.0,11.0,11,11,-1.0,-1.0,1,16,16.0,16.0,16,16,-1.0,-1.0,1,8,8.0,8.0,8,8,-1.0,-1.0,1,3,3.0,3.0,3,3,-1.0,-1.0,1,18,18.0,18.0,18,18,-1.0,-1.0,1,1.0
2008_1243_1425,2008,11.0,6.0,5.0,1243_1425,0,0.0,0.0,0,0,0.0,-1.0,1,47,23.5,23.5,29,18,7.7781745930520225,-1.0,2,109,54.5,54.5,60,49,7.7781745930520225,-1.0,2,8,4.0,4.0,7,1,4.242640687119285,-1.0,2,32,16.0,16.0,16,16,0.0,-1.0,1,46,23.0,23.0,31,15,11.313708498984761,-1.0,2,67,33.5,33.5,41,26,10.606601717798213,-1.0,2,34,17.0,17.0,21,13,5.656854249492381,-1.0,2,44,22.0,22.0,23,21,1.4142135623730951,-1.0,2,21,10.5,10.5,15,6,6.363961030678928,-1.0,2,31,15.5,15.5,18,13,3.5355339059327378,-1.0,2,16,8.0,8.0,9,7,1.4142135623730951,-1.0,2,4,2.0,2.0,3,1,1.4142135623730951,-1.0,2,47,23.5,23.5,26,21,3.5355339059327378,-1.0,2,38,19.0,19.0,21,17,2.8284271247461903,-1.0,2,90,45.0,45.0,50,40,7.0710678118654755,-1.0,2,7,3.5,3.5,6,1,3.5355339059327378,-1.0,2,23,11.5,11.5,12,11,0.7071067811865476,-1.0,2,39,19.5,19.5,20,19,0.7071067811865476,-1.0,2,52,26.0,26.0,27,25,1.4142135623730951,-1.0,2,14,7.0,7.0,9,5,2.8284271247461903,-1.0,2,40,20.0,20.0,22,18,2.8284271247461903,-1.0,2,18,9.0,9.0,12,6,4.242640687119285,-1.0,2,39,19.5,19.5,28,11,12.020815280171307,-1.0,2,12,6.0,6.0,6,6,0.0,-1.0,1,4,2.0,2.0,4,0,2.8284271247461903,-1.0,2,53,26.5,26.5,29,24,3.5355339059327378,-1.0,2,1.0
